uav_id,role,role_name,ideal_grid_x,ideal_grid_y,ideal_x,ideal_y,distance_to_ground_station
0,0,search,1,1,0.15,0.15,0.49497474683058323
1,0,search,1,8,0.15,0.85,0.49497474683058323
2,0,search,8,1,0.85,0.15,0.49497474683058323
3,0,search,8,8,0.85,0.85,0.49497474683058323
4,0,search,5,1,0.55,0.15,0.35355339059327373
5,0,search,5,8,0.55,0.85,0.35355339059327373
6,1,ferry,4,4,0.45,0.45,0.07071067811865474
7,1,ferry,4,5,0.45,0.55,0.07071067811865478
8,1,ferry,5,4,0.55,0.45,0.07071067811865478
9,1,ferry,5,5,0.55,0.55,0.07071067811865482
